[17112, 10119, 37306, 37629, 6284, 23279, 43492, 24882, 50432, 16744, 18740, 24876, 17598, 44585, 11995, 52154, 29321, 35408, 20495, 58271]
[3835, 21533, 16069, 1524, 34023, 27895, 33599, 40461, 44023, 45852, 35978, 7763, 22712, 1681, 37502, 30651, 56730, 30250, 56771, 29715]
[33314, 423, 21471, 35596, 33908, 21892, 51075, 1781, 4575, 23969, 30538, 29516, 53844, 39334, 13793, 34561, 47410, 4270, 6183, 32306]
[38985, 30093, 50131, 61381, 38513, 11559, 30942, 27118, 50748, 16875, 8129, 46323, 24399, 32062, 26559, 29471, 45547, 19751, 9410, 4733]
[37954, 19012, 24400, 21761, 29747, 13536, 7498, 51993, 48925, 37324, 28032, 12077, 54573, 47170, 27028, 22305, 30135, 39547, 7130, 5742]
[34969, 16515, 27135, 52294, 37536, 37062, 9172, 7264, 60750, 37842, 5069, 47256, 12444, 13265, 22253, 28601, 16819, 1776, 34830, 40927]
[41107, 22951, 8613, 24830, 34944, 38444, 22416, 45414, 52446, 21424, 27864, 20121, 19407, 21439, 35994, 43911, 13080, 6984, 45959, 27532]
[23736, 16500, 19229, 12648, 17674, 50905, 18898, 46995, 26276, 26612, 21177, 13844, 13888, 20981, 20915, 3373, 29497, 6569, 4275, 48838]
[6591, 4359, 18272, 41659, 42558, 42186, 11366, 53973, 51720, 21928, 28200, 26213, 1893, 6150, 38304, 23137, 2289, 38876, 59103, 24635]
[5220, 3319, 2983, 20250, 19166, 27082, 36333, 21202, 32154, 18827, 38990, 30550, 9679, 43918, 2632, 52788, 38385, 17932, 39182, 35405]
[37130, 11115, 18024, 55962, 10212, 36112, 27593, 36307, 35111, 24968, 34901, 23711, 43779, 25890, 5996, 7004, 6862, 8039, 37085, 26667]
[58427, 19189, 30639, 3554, 33475, 13713, 30115, 36171, 8515, 19325, 28738, 22930, 28975, 53531, 21027, 28595, 8487, 52204, 21219, 1656]
[12050, 25062, 32145, 31320, 47129, 59039, 10690, 40287, 26035, 45121, 27143, 17462, 44093, 14274, 21516, 16356, 3481, 3247, 8136, 7691]
[4157, 2015, 12988, 10004, 12808, 20928, 32714, 30148, 8053, 5001, 4066, 28773, 41799, 32942, 16834, 16474, 14199, 3030, 23224, 38247]
[9868, 12046, 46812, 44025, 4954, 14475, 6511, 11402, 60177, 20262, 57797, 49367, 21088, 7235, 41284, 29110, 36222, 2250, 45645, 10654]
[14407, 22434, 47698, 53175, 24433, 367, 22718, 49786, 35228, 6660, 40393, 24753, 37078, 10668, 34878, 41816, 31203, 23940, 8714, 35972]
[19923, 25670, 3387, 4588, 6019, 31927, 47977, 23668, 9764, 27192, 5116, 42860, 49896, 34602, 1972, 1935, 16993, 12966, 1644, 35581]
[28006, 22326, 38962, 36765, 29107, 9349, 9620, 10568, 35474, 2062, 7495, 46595, 32773, 31655, 9352, 1396, 12534, 4160, 4103, 49460]
[26515, 45871, 2699, 12772, 4095, 52125, 19447, 40256, 19721, 50619, 26407, 6633, 33510, 48581, 18161, 13992, 50612, 10481, 40904, 28530]
[36763, 26453, 49542, 26651, 51847, 10462, 12268, 35132, 7468, 18202, 8850, 47613, 25566, 14987, 33245, 38322, 708, 17001, 5288, 36124]
